k,logLik,in_95
0.05000000000000001,-737.1897825742972,FALSE
0.05007496818101387,-737.188594349565,FALSE
0.050150048766591036,-737.187402559864,FALSE
0.050225241925266784,-737.1862071945013,FALSE
0.05030054782582917,-737.1850082427516,FALSE
0.05037596663731923,-737.183805693857,FALSE
0.050451498529031545,-737.1825995370283,FALSE
0.050527143670514446,-737.1813897614435,FALSE
0.05060290223157055,-737.1801763562481,FALSE
0.050678774382257014,-737.1789593105552,FALSE
0.050754760292886,-737.177738613445,FALSE
0.05083086013402506,-737.176514253965,FALSE
0.050907074076497416,-737.1752862211305,FALSE
0.05098340229138249,-737.1740545039229,FALSE
0.05105984495001615,-737.1728190912913,FALSE
0.05113640222399122,-737.1715799721514,FALSE
0.05121307428515773,-737.1703371353856,FALSE
0.05128986130562347,-737.169090569843,FALSE
0.051366763457754185,-737.1678402643395,FALSE
0.05144378091417412,-737.1665862076571,FALSE
0.051520913847766366,-737.1653283885445,FALSE
0.05159816243167314,-737.1640667957165,FALSE
0.05167552683929636,-737.162801417854,FALSE
0.051753007244297856,-737.1615322436041,FALSE
0.051830603820599924,-737.16025926158,FALSE
0.05190831674238553,-737.1589824603603,FALSE
0.05198614618409891,-737.1577018284898,FALSE
0.05206409232044575,-737.1564173544791,FALSE
0.05214215532639378,-737.1551290268037,FALSE
0.05222033537717304,-737.1538368339048,FALSE
0.05229863264827625,-737.1525407641897,FALSE
0.052377047315459335,-737.1512408060295,FALSE
0.05245557955474167,-737.1499369477621,FALSE
0.05253422954240663,-737.1486291776888,FALSE
0.0526129974550018,-737.1473174840771,FALSE
0.05269188346933956,-737.1460018551588,FALSE
0.0527708877624974,-737.1446822791304,FALSE
0.052850010511818216,-737.1433587441533,FALSE
0.05292925189491093,-737.1420312383528,FALSE
0.05300861208965064,-737.1406997498193,FALSE
0.053088091274179273,-737.1393642666071,FALSE
0.053167689626905726,-737.1380247767349,FALSE
0.05324740732650652,-737.1366812681853,FALSE
0.053327244551925966,-737.135333728905,FALSE
0.053407201482376744,-737.1339821468044,FALSE
0.053487278297340256,-737.1326265097582,FALSE
0.05356747517656693,-737.1312668056038,FALSE
0.053647792300076796,-737.1299030221427,FALSE
0.05372822984815972,-737.1285351471403,FALSE
0.05380878800137596,-737.1271631683244,FALSE
0.05388946694055643,-737.1257870733866,FALSE
0.05397026684680325,-737.1244068499815,FALSE
0.054051187901489994,-737.1230224857267,FALSE
0.05413223028626225,-737.1216339682023,FALSE
0.054213394183037965,-737.1202412849518,FALSE
0.05429467977400776,-737.1188444234807,FALSE
0.05437608724163553,-737.1174433712581,FALSE
0.05445761676865865,-737.1160381157142,FALSE
0.054539268538088596,-737.1146286442424,FALSE
0.05462104273321114,-737.1132149441979,FALSE
0.05470293953758694,-737.1117970028986,FALSE
0.05478495913505182,-737.1103748076237,FALSE
0.054867101709717286,-737.1089483456144,FALSE
0.054949367445970905,-737.107517604074,FALSE
0.05503175652847664,-737.106082570167,FALSE
0.05511426914217541,-737.1046432310201,FALSE
0.055196905472285354,-737.1031995737203,FALSE
0.0552796657043024,-737.1017515853171,FALSE
0.05536255002400051,-737.1002992528203,FALSE
0.0554455586174323,-737.0988425632014,FALSE
0.05552869167092922,-737.0973815033922,FALSE
0.0556119493711022,-737.0959160602861,FALSE
0.055695331904841945,-737.0944462207367,FALSE
0.05577883945931933,-737.092971971558,FALSE
0.05586247222198594,-737.0914932995248,FALSE
0.05594623038057433,-737.0900101913727,FALSE
0.05603011412309863,-737.0885226337966,FALSE
0.05611412363785478,-737.0870306134523,FALSE
0.05619825911342114,-737.0855341169549,FALSE
0.05628252073865871,-737.0840331308801,FALSE
0.05636690870271175,-737.0825276417629,FALSE
0.05645142319500811,-737.0810176360982,FALSE
0.05653606440525957,-737.0795031003404,FALSE
0.056620832523462485,-737.0779840209028,FALSE
0.056705727739897974,-737.0764603841585,FALSE
0.05679075024513254,-737.0749321764399,FALSE
0.05687590023001834,-737.0733993840381,FALSE
0.05696117788569377,-737.0718619932029,FALSE
0.05704658340358371,-737.0703199901435,FALSE
0.05713211697540015,-737.0687733610272,FALSE
0.057217778793142514,-737.0672220919803,FALSE
0.057303569049098016,-737.0656661690872,FALSE
0.057389487935842295,-737.0641055783905,FALSE
0.05747553564623963,-737.0625403058912,FALSE
0.057561712373443576,-737.0609703375487,FALSE
0.05764801831089717,-737.0593956592795,FALSE
0.05773445365233363,-737.0578162569583,FALSE
0.05782101859177652,-737.0562321164178,FALSE
0.057907713323540395,-737.0546432234476,FALSE
0.057994538042231175,-737.0530495637951,FALSE
0.05808149294274648,-737.0514511231651,FALSE
0.05816857822027624,-737.049847887219,FALSE
0.05825579407030297,-737.048239841576,FALSE
0.058343140688602364,-737.0466269718113,FALSE
0.058430618271243566,-737.0450092634578,FALSE
0.058518227014589794,-737.0433867020043,FALSE
0.05860596711529859,-737.0417592728966,FALSE
0.05869383877032243,-737.0401269615368,FALSE
0.05878184217690909,-737.0384897532826,FALSE
0.05886997753260202,-737.036847633449,FALSE
0.05895824503524096,-737.0352005873061,FALSE
0.05904664488296219,-737.0335486000798,FALSE
0.059135177274199154,-737.0318916569524,FALSE
0.05922384240768273,-737.0302297430613,FALSE
0.059312640482441864,-737.0285628434996,FALSE
0.059401571697803815,-737.0268909433154,FALSE
0.059490636253394784,-737.0252140275122,FALSE
0.05957983434914029,-737.0235320810489,FALSE
0.059669166185265535,-737.0218450888384,FALSE
0.05975863196229602,-737.0201530357493,FALSE
0.05984823188105782,-737.0184559066046,FALSE
0.05993796614267821,-737.0167536861817,FALSE
0.06002783494858595,-737.0150463592119,FALSE
0.06011783850051189,-737.013333910382,FALSE
0.06020797700048925,-737.0116163243317,FALSE
0.06029825065085427,-737.0098935856554,FALSE
0.060388659654246536,-737.0081656789008,FALSE
0.06047920421360942,-737.0064325885697,FALSE
0.06056988453219064,-737.0046942991174,FALSE
0.06066070081354259,-737.0029507949524,FALSE
0.060751653261522966,-737.0012020604368,FALSE
0.060842742080294984,-736.9994480798853,FALSE
0.06093396747432808,-736.9976888375662,FALSE
0.06102532964839827,-736.9959243177003,FALSE
0.0611168288075885,-736.9941545044614,FALSE
0.06120846515728933,-736.9923793819755,FALSE
0.061300238903199175,-736.990598934321,FALSE
0.06139215025132495,-736.9888131455297,FALSE
0.06148419940798238,-736.9870219995836,FALSE
0.0615763865797966,-736.9852254804184,FALSE
0.061668711973702474,-736.9834235719205,FALSE
0.06176117579694519,-736.9816162579292,FALSE
0.0618537782570807,-736.9798035222343,FALSE
0.061946519561976054,-736.9779853485775,FALSE
0.0620393999198101,-736.9761617206517,FALSE
0.06213241953907369,-736.9743326221012,FALSE
0.0622255786285704,-736.9724980365206,FALSE
0.062318877397416775,-736.9706579474561,FALSE
0.062412316055043,-736.9688123384044,FALSE
0.06250589481119317,-736.9669611928123,FALSE
0.06259961387592594,-736.9651044940774,FALSE
0.06269347345961493,-736.9632422255477,FALSE
