donor_regime,barrier_mode,recipient_genotype,am_colonization_pct,am_colonization_pct,am_colonization_pct,arbuscule_abundance_pct,arbuscule_abundance_pct,tapt4_relative_expression,tapt4_relative_expression,shoot_phosphorus_mg_g,shoot_phosphorus_mg_g,rhizosphere_sl_pmol_g,rhizosphere_sl_pmol_g
,,,mean,std,count,mean,std,mean,std,mean,std,mean,std
P_Replete,M0_Solid,Tad14_mutant,15.910416666666668,2.0259951482122833,24,11.35375,1.4681689646275906,0.93375,0.3920161099174148,2.9440000000000004,0.24191895876242447,0.24820833333333334,0.05261094213073986
P_Replete,M0_Solid,WT,14.812916666666666,2.8684800992355073,24,10.655416666666666,2.1328934810367994,1.0025000000000002,0.3852638847200256,3.016916666666667,0.23536519573275663,0.2517916666666667,0.08915593528813125
P_Replete,M1_Membrane,Tad14_mutant,14.660000000000002,2.689142420274861,24,10.2675,1.8766210383929758,1.1033333333333333,0.25061084793250527,2.9275416666666665,0.1993960400737724,0.43720833333333337,0.09810375127635416
P_Replete,M1_Membrane,WT,15.760416666666666,2.2851057994090236,24,11.537083333333333,1.8236453678103735,1.0583333333333333,0.2996326253012637,2.954333333333333,0.179914150219696,0.46141666666666664,0.09364406091646994
P_Replete,M2_Mesh,Tad14_mutant,16.325833333333332,2.4029979765622613,24,11.807083333333333,1.6727131804520379,1.1479166666666667,0.31332687705343437,3.1491666666666664,0.22697685510558824,0.5004166666666666,0.14020789429696318
P_Replete,M2_Mesh,WT,18.366666666666667,2.825202827142284,24,13.6,2.306154337004997,1.2366666666666666,0.33303174762706367,3.1760416666666664,0.21396169489901215,0.45566666666666666,0.0841280941890642
P_Starved,M0_Solid,Tad14_mutant,14.427083333333334,2.1469138197131628,24,10.291666666666666,1.6848136696529012,0.8574999999999999,0.3316919733991031,2.9454583333333333,0.15655113879487126,0.27529166666666666,0.07560393316584084
P_Starved,M0_Solid,WT,15.238333333333335,2.7187459811731083,24,11.103333333333333,2.030700600171338,0.9783333333333334,0.40200223519459355,2.9407916666666662,0.20915273785830102,0.24454166666666666,0.07767993371166891
P_Starved,M1_Membrane,Tad14_mutant,16.375833333333333,2.5706604068869603,24,11.699583333333335,2.024803756817729,0.9541666666666666,0.3603249338736004,2.9195833333333336,0.24100530693537536,6.745208333333333,0.5552634297784027
P_Starved,M1_Membrane,WT,35.595416666666665,2.3407616359279055,24,25.26291666666667,2.702516507075301,4.027916666666667,0.405901885410391,3.826375,0.16521890946098833,6.376874999999999,0.7268795912786322
P_Starved,M2_Mesh,Tad14_mutant,22.97583333333333,2.0437155350991976,24,16.77625,1.9715913071954587,1.0879166666666666,0.3321076196272719,3.202541666666667,0.23173091200724633,8.061333333333334,0.8019356835680217
P_Starved,M2_Mesh,WT,54.81,2.476082108633647,24,39.84458333333333,2.4561103557678656,7.414166666666667,0.37099064404781784,4.867125000000001,0.22051842326662877,8.025875000000001,0.8203232296399736
P_Starved_Tis108,M0_Solid,Tad14_mutant,14.764166666666666,2.5491651091334178,24,10.530416666666666,1.909553736089794,1.1208333333333333,0.3845258702968322,2.9222916666666667,0.21439875063852942,0.25729166666666664,0.07498027518398867
P_Starved_Tis108,M0_Solid,WT,15.292083333333332,2.6380971059799347,24,11.019583333333335,2.0357062211528905,1.02125,0.29766208591505966,2.9090416666666665,0.2314259162456636,0.25033333333333335,0.08436755334825714
P_Starved_Tis108,M1_Membrane,Tad14_mutant,15.050416666666665,1.734966430364793,24,10.859583333333333,1.2513522395937253,0.9783333333333334,0.27943524826158656,2.935791666666667,0.26104955038004407,1.1001666666666667,0.1991105584662793
P_Starved_Tis108,M1_Membrane,WT,17.01125,2.4381484644669627,24,12.25875,2.0630650741069707,1.1245833333333335,0.35115931187829913,3.04475,0.2676336317983322,1.1695416666666667,0.21709424504551955
P_Starved_Tis108,M2_Mesh,Tad14_mutant,16.483333333333334,3.5321746801389216,24,11.78375,2.5124919424486847,1.1529166666666668,0.41684612077575717,3.1798333333333333,0.22892939231707807,1.3229583333333335,0.21962546759083465
P_Starved_Tis108,M2_Mesh,WT,21.91208333333333,2.6809391267705567,24,15.689583333333333,2.2748157673451974,1.8908333333333334,0.38857506316044643,3.4458333333333333,0.2269868156804568,1.34225,0.20878681659196943
